Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
EB Ringera (KENYA),2011-2011,1,-,-,-,-,-,-,-,-,-,-
Rizwan Ahmed (PAK),2008-2008,1,-,-,-,-,-,-,-,-,-,-
Rokhan Barakzai (AFG),2015-2015,1,-,-,-,-,-,-,-,-,-,-
Saeed-al-Saffar (UAE),1996-1996,1,-,-,-,-,-,-,-,-,-,-
NA Saini (INDIA),2019-2020,3,-,-,-,-,-,-,-,-,-,-
Salman Farooq (UAE),2014-2014,1,-,-,-,-,-,-,-,-,-,-
Samiullah Khan (PAK),2008-2008,2,-,-,-,-,-,-,-,-,-,-
GS Sandhu (AUS),2015-2015,2,-,-,-,-,-,-,-,-,-,-
BN Schultz (SA),1992-1992,1,-,-,-,-,-,-,-,-,-,-
TAP Sekhar (INDIA),1983-1985,4,-,-,-,-,-,-,-,-,-,-
Shehzad Altaf (UAE),1996-1996,2,-,-,-,-,-,-,-,-,-,-
KV Sharma (INDIA),2014-2014,2,-,-,-,-,-,-,-,-,-,-
M Shezi (SA),2014-2014,1,-,-,-,-,-,-,-,-,-,-
B Shikongo (NAM),2020-2020,1,-,-,-,-,-,-,-,-,-,-
RP Singh (INDIA),1986-1986,2,-,-,-,-,-,-,-,-,-,-
MA Small (WI),1984-1984,2,-,-,-,-,-,-,-,-,-,-
M Smith (BMUDA),2008-2008,1,-,-,-,-,-,-,-,-,-,-
BB Sran (INDIA),2016-2016,6,-,-,-,-,-,-,-,-,-,-
LW Stott (NZ),1979-1979,1,-,-,-,-,-,-,-,-,-,-
EP Thompson (NZ),2009-2009,1,-,-,-,-,-,-,-,-,-,-
AL Thomson (AUS),1971-1971,1,-,-,-,-,-,-,-,-,-,-
RW Tolchard (ENG),1979-1979,1,-,-,-,-,-,-,-,-,-,-
TE Tucker (BMUDA),2008-2009,5,-,-,-,-,-,-,-,-,-,-
CM Tuckett (WI),1998-1998,1,-,-,-,-,-,-,-,-,-,-
JD Unadkat (INDIA),2013-2013,7,-,-,-,-,-,-,-,-,-,-
Wahidul Gani (BDESH),1988-1988,1,-,-,-,-,-,-,-,-,-,-
KP Walmsley (NZ),2003-2003,2,-,-,-,-,-,-,-,-,-,-
Washington Sundar (INDIA),2017-2017,1,-,-,-,-,-,-,-,-,-,-
M Watkinson (ENG),1996-1996,1,-,-,-,-,-,-,-,-,-,-
S Weerakoon (SL),2012-2012,2,-,-,-,-,-,-,-,-,-,-
Zahir Khan (AFG),2019-2019,1,-,-,-,-,-,-,-,-,-,-
Zakir Hasan (BDESH),1997-1997,1,-,-,-,-,-,-,-,-,-,-
